,Serie,Date,Value
17168,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-03,0.8313253012048193
17169,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-04,0.0
17170,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-04,1793.9638554216867
17171,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-04,0.8313253012048193
17172,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-05,0.0
17173,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-05,1793.9638554216867
17174,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-05,0.8313253012048193
17175,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-06,0.0
17176,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-06,1793.9638554216867
17177,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-06,0.8313253012048193
17178,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-07,0.0
17179,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-07,1793.9638554216867
17180,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-07,0.8313253012048193
17181,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-08,0.0
17182,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-08,1793.9638554216867
17183,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-08,0.8313253012048193
17184,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-09,4800.0
17185,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-09,78226.96385542168
17186,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-09,25.83132530120482
17187,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-10,3600.0
17188,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-10,58543.96385542169
17189,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-10,16.83132530120482
17190,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-11,0.0
17191,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-11,1793.9638554216867
17192,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-11,0.8313253012048193
17193,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-12,0.0
17194,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-12,1793.9638554216867
17195,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-12,0.8313253012048193
17196,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-13,0.0
17197,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-13,1793.9638554216867
17198,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-13,0.8313253012048193
17199,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-14,0.0
17200,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-14,1793.9638554216867
17201,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-14,0.8313253012048193
17202,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-15,0.0
17203,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-15,1793.9638554216867
